Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
37;infrastructure;;B0:1F:8C:E1:B2:06;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;40;0;0;0;0;0;;;Fri Oct 20 09:12:02 2023;Fri Oct 20 09:14:45 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E1:B2:00;;11;No;WPA3,AES-CCM,SAE;No;130.0;0;45;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:41 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;;B0:1F:8C:E1:B2:04;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;36;0;0;0;0;0;;;Fri Oct 20 09:11:55 2023;Fri Oct 20 09:14:46 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;Administrativos-UDP;B0:1F:8C:E1:B2:07;;11;No;WPA2,AES-CCM;No;130.0;0;34;0;1;0;0;1;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;Invitados-UDP;B0:1F:8C:E1:B2:01;;11;No;OPN,None;No;130.0;0;36;0;0;0;0;0;;;Fri Oct 20 09:12:02 2023;Fri Oct 20 09:14:49 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;VIP-UDP;B0:1F:8C:E1:B2:05;;11;No;OPN,None;No;130.0;0;43;0;0;0;0;0;;;Fri Oct 20 09:11:55 2023;Fri Oct 20 09:14:49 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;Alumnos-UDP;B0:1F:8C:E1:B2:03;;11;No;OPN,None;No;130.0;0;29;0;0;0;0;0;;;Fri Oct 20 09:11:58 2023;Fri Oct 20 09:14:45 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;FAMILIAGL_EXT;84:D8:1B:C6:83:E9;;2;No;AES-CCM,TKIP;No;195.0;0;62;0;4;0;0;4;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:46 2023;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;HUAWEI-B2368-D781DD;CC:D4:A1:D7:81:DD;;13;No;WPA2,AES-CCM,TKIP;No;130.0;0;100;0;1;0;0;1;;;Fri Oct 20 09:11:49 2023;Fri Oct 20 09:14:46 2023;-70;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;Kevin's Galaxy S21+ 5G;62:94:63:7E:58:C5;;6;No;WPA2,AES-CCM;No;130.0;0;149;0;11;0;0;11;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;ZTE_B5EA07;B4:1C:30:B5:EA:07;;10;No;WPA2,AES-CCM;No;130.0;0;77;0;0;0;0;0;;;Fri Oct 20 09:11:47 2023;Fri Oct 20 09:14:49 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;JPablo;CC:ED:DC:1C:0E:71;;8;No;WPA2,AES-CCM,TKIP;No;130.0;0;146;0;2;0;0;2;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:47 2023;-64;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;VIP-UDP;B0:1F:8C:E2:14:A5;;11;No;OPN,None;No;130.0;0;115;0;0;0;0;0;;;Fri Oct 20 09:11:48 2023;Fri Oct 20 09:14:49 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;cableadaTelematica-invitado;58:EF:68:47:59:C8;;6;No;OPN,None;No;130.0;0;127;0;154;0;0;154;;;Fri Oct 20 09:11:45 2023;Fri Oct 20 09:14:49 2023;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.33.101;
51;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E2:14:A0;;11;No;WPA3,AES-CCM,SAE;No;130.0;0;117;0;0;0;0;0;;;Fri Oct 20 09:11:47 2023;Fri Oct 20 09:14:49 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
